1607444665251.csv;;;;;;;;;;;;
Initial time: 1607444603859	| Ending time: 1607444665248	| Duration: 61,4 sec	| Sample rate: 0;;;;;;;;;;;;
MAC ADDRESS; SEQ ID; DIGITAL;;;; ANALOG;;;;;; TIMESTAMP
88:6B:0F:F1:94:16;9;1;1;0;0;3;453;0;0;0;0;1607444629123
88:6B:0F:F1:94:16;10;1;1;0;0;0;501;0;0;0;0;1607444629231
88:6B:0F:F1:94:16;11;1;1;0;0;3;479;0;0;0;0;1607444629337
88:6B:0F:F1:94:16;12;1;1;0;0;1;540;0;0;0;0;1607444629447
88:6B:0F:F1:94:16;13;1;1;0;0;3;503;0;0;0;0;1607444629538
88:6B:0F:F1:94:16;14;1;1;0;0;1;487;0;0;0;0;1607444629621
88:6B:0F:F1:94:16;15;1;1;0;0;3;510;0;0;0;0;1607444629739
88:6B:0F:F1:94:16;0;1;1;0;0;0;508;0;0;0;0;1607444629836
88:6B:0F:F1:94:16;1;1;1;0;0;3;494;0;0;0;0;1607444629942
88:6B:0F:F1:94:16;2;1;1;0;0;1;488;0;0;0;0;1607444630022
88:6B:0F:F1:94:16;3;1;1;0;0;3;522;0;0;0;0;1607444630137
88:6B:0F:F1:94:16;4;1;1;0;0;0;510;0;0;0;0;1607444630244
88:6B:0F:F1:94:16;5;1;1;0;0;3;498;0;0;0;0;1607444630344
88:6B:0F:F1:94:16;6;1;1;0;0;0;499;0;0;0;0;1607444630426
88:6B:0F:F1:94:16;7;1;1;0;0;3;493;0;0;0;0;1607444630534
88:6B:0F:F1:94:16;8;1;1;0;0;1;486;0;0;0;0;1607444630644
88:6B:0F:F1:94:16;9;1;1;0;0;3;524;0;0;0;0;1607444630732
88:6B:0F:F1:94:16;10;1;1;0;0;0;523;0;0;0;0;1607444630839
88:6B:0F:F1:94:16;11;1;1;0;0;1;511;0;0;0;0;1607444630921
88:6B:0F:F1:94:16;12;1;1;0;0;1;492;0;0;0;0;1607444631036
88:6B:0F:F1:94:16;13;1;1;0;0;3;500;0;0;0;0;1607444631136
88:6B:0F:F1:94:16;14;1;1;0;0;1;582;0;0;0;0;1607444631221
88:6B:0F:F1:94:16;15;1;1;0;0;3;496;0;0;0;0;1607444631337
88:6B:0F:F1:94:16;0;1;1;0;0;0;472;0;0;0;0;1607444631445
88:6B:0F:F1:94:16;1;1;1;0;0;3;542;0;0;0;0;1607444631523
88:6B:0F:F1:94:16;2;1;1;0;0;1;515;0;0;0;0;1607444631623
88:6B:0F:F1:94:16;3;1;1;0;0;3;506;0;0;0;0;1607444631735
88:6B:0F:F1:94:16;4;1;1;0;0;1;496;0;0;0;0;1607444631837
88:6B:0F:F1:94:16;5;1;1;0;0;3;499;0;0;0;0;1607444631924
88:6B:0F:F1:94:16;6;1;1;0;0;1;506;0;0;0;0;1607444632037
88:6B:0F:F1:94:16;7;1;1;0;0;3;483;0;0;0;0;1607444632142
88:6B:0F:F1:94:16;8;1;1;0;0;0;463;0;0;0;0;1607444632222
88:6B:0F:F1:94:16;9;1;1;0;0;3;538;0;0;0;0;1607444632338
88:6B:0F:F1:94:16;10;1;1;0;0;1;508;0;0;0;0;1607444632438
88:6B:0F:F1:94:16;11;1;1;0;0;3;504;0;0;0;0;1607444632528
88:6B:0F:F1:94:16;12;1;1;0;0;1;492;0;0;0;0;1607444632645
88:6B:0F:F1:94:16;13;1;1;0;0;3;495;0;0;0;0;1607444632723
88:6B:0F:F1:94:16;14;1;1;0;0;0;500;0;0;0;0;1607444632834
88:6B:0F:F1:94:16;15;1;1;0;0;3;484;0;0;0;0;1607444632927
88:6B:0F:F1:94:16;0;1;1;0;0;1;506;0;0;0;0;1607444633039
88:6B:0F:F1:94:16;1;1;1;0;0;3;523;0;0;0;0;1607444633145
88:6B:0F:F1:94:16;2;1;1;0;0;1;508;0;0;0;0;1607444633232
88:6B:0F:F1:94:16;3;1;1;0;0;1;500;0;0;0;0;1607444633342
88:6B:0F:F1:94:16;4;1;1;0;0;0;508;0;0;0;0;1607444633422
88:6B:0F:F1:94:16;5;1;1;0;0;3;503;0;0;0;0;1607444633542
88:6B:0F:F1:94:16;6;1;1;0;0;0;482;0;0;0;0;1607444633645
88:6B:0F:F1:94:16;7;1;1;0;0;3;460;0;0;0;0;1607444633727
88:6B:0F:F1:94:16;8;1;1;0;0;0;536;0;0;0;0;1607444633845
88:6B:0F:F1:94:16;9;1;1;0;0;3;509;0;0;0;0;1607444633922
88:6B:0F:F1:94:16;10;1;1;0;0;1;497;0;0;0;0;1607444634045
88:6B:0F:F1:94:16;11;1;1;0;0;3;481;0;0;0;0;1607444634122
88:6B:0F:F1:94:16;12;1;1;0;0;0;384;0;0;0;0;1607444634234
88:6B:0F:F1:94:16;13;1;1;0;0;3;496;0;0;0;0;1607444634344
88:6B:0F:F1:94:16;14;1;1;0;0;1;474;0;0;0;0;1607444634432
88:6B:0F:F1:94:16;15;1;1;0;0;3;545;0;0;0;0;1607444634543
88:6B:0F:F1:94:16;0;1;1;0;0;0;520;0;0;0;0;1607444634622
88:6B:0F:F1:94:16;1;1;1;0;0;3;509;0;0;0;0;1607444634733
88:6B:0F:F1:94:16;2;1;1;0;0;1;513;0;0;0;0;1607444634839
88:6B:0F:F1:94:16;3;1;1;0;0;3;553;0;0;0;0;1607444634946
88:6B:0F:F1:94:16;4;1;1;0;0;1;499;0;0;0;0;1607444635033
88:6B:0F:F1:94:16;5;1;1;0;0;3;473;0;0;0;0;1607444635147
88:6B:0F:F1:94:16;6;1;1;0;0;0;531;0;0;0;0;1607444635223
88:6B:0F:F1:94:16;7;1;1;0;0;3;501;0;0;0;0;1607444635334
88:6B:0F:F1:94:16;8;1;1;0;0;0;490;0;0;0;0;1607444635462
